TimeStamp,Source_State_ID,Target_State_ID,TouchedElement_Type,TouchedElement_Label,TouchedElement_Action,TouchedElement_Details,Methods
1417557873.951471,S0,S1,,,,,,
1417557904.701740,S1,S1,UIButton,跳过,_buttonClicked:,,,
1417557919.580998,S1,S1,UIScrollView,,,,,
1417557925.868063,S1,S1,UIScrollView,,,,,
1417557936.384845,S1,S1,UIScrollView,,,,,
1417557946.642733,S1,S6,UIButton,,removeTips,,,
1417557962.206383,S6,S6,UIButton,,joinBtnPressed:,,,
1417557974.920123,S6,S8,UIButton,,buttonPressed:,,,
1417557983.649779,S8,S8,UIButton,,buttonPressed:,,,
1417557989.691616,S8,S6,UIButton,,buttonPressed:,,,
1417557995.917036,S6,S1,UIButton,,buttonPressed:,,,
1417558003.589221,S1,S1,UIScrollView,,,,,
1417558009.692812,S1,S1,UIScrollView,,,,,
1417558015.562857,S1,S1,UIScrollView,,,,,
1417558021.874555,S1,S6,UIButton,,removeTips,,,
1417558059.587501,S6,S6,UIButton,Button,loginBtnPressed:,,,
1417558066.635555,S6,S6,UIButton,     自动登录,cookieBtnPressed:,,,
1417558075.845427,S6,S6,UIButton,,sinaBtnPressed:,,,
1417558090.013979,S6,S6,UIButton,,cancel,,,
1417558097.429150,S6,S20,UIButton,,findMyPwBtnPressed:,,,
1417558112.611753,S20,S20,UIButton,,buttonPressed:,,,
1417558121.915894,S20,S6,UIButton,,buttonPressed:,,,
1417558129.750011,S6,S6,TopView,,,,,
